2026-06-11 13:58:32,838 | WARNING  | data_quality:243 | fund_master: 3 issue(s) (score=85.7%)
2026-06-11 13:58:32,881 | WARNING  | data_quality:243 | nav_history: 2 issue(s) (score=85.7%)
2026-06-11 13:58:32,888 | INFO     | data_quality:245 | aum_data: clean (score=100.0%)
2026-06-11 13:58:32,895 | WARNING  | data_quality:243 | sip_data: 2 issue(s) (score=71.4%)
2026-06-11 13:58:32,898 | WARNING  | data_quality:243 | category_inflows: 1 issue(s) (score=85.7%)
2026-06-11 13:58:32,908 | INFO     | data_quality:245 | folio_data: clean (score=100.0%)
2026-06-11 13:58:32,923 | WARNING  | data_quality:243 | scheme_performance: 4 issue(s) (score=85.7%)
2026-06-11 13:58:33,046 | WARNING  | data_quality:243 | investor_transactions: 1 issue(s) (score=85.7%)
2026-06-11 13:58:33,057 | WARNING  | data_quality:243 | portfolio_holdings: 2 issue(s) (score=85.7%)
2026-06-11 13:58:33,067 | INFO     | data_quality:245 | benchmark_data: clean (score=100.0%)
2026-06-11 13:58:33,077 | INFO     | data_quality:296 | Data quality report saved to /home/saikat/bluestock_mf_capstone/reports/data_quality_report.json
2026-06-11 13:58:36,699 | INFO     | portfolio_optimizer:54 | Loaded 40 funds, 1607 trading days
2026-06-11 13:58:52,390 | INFO     | portfolio_optimizer:267 | Efficient frontier saved to /home/saikat/bluestock_mf_capstone/charts/efficient_frontier.png
2026-06-11 13:58:57,833 | INFO     | anomaly_detector:59 | Loaded 40 funds, 1608 days for anomaly detection
2026-06-11 13:59:36,641 | INFO     | anomaly_detector:59 | Loaded 40 funds, 1608 days for anomaly detection
2026-06-11 13:59:53,277 | INFO     | anomaly_detector:59 | Loaded 40 funds, 1608 days for anomaly detection
2026-06-11 14:00:42,108 | INFO     | anomaly_detector:60 | Loaded 40 funds, 1608 days for anomaly detection
2026-06-11 14:00:42,120 | INFO     | anomaly_detector:169 | HDFC Top 100 Fund - Regular Plan - Growt: 470 anomaly(-ies) detected
2026-06-11 14:00:42,129 | INFO     | anomaly_detector:169 | HDFC Short Term Debt Fund - Regular - Gr: 463 anomaly(-ies) detected
2026-06-11 14:00:42,138 | INFO     | anomaly_detector:169 | HDFC Mid-Cap Opportunities Fund - Regula: 484 anomaly(-ies) detected
2026-06-11 14:00:42,149 | INFO     | anomaly_detector:169 | ABSL Frontline Equity Fund - Regular - G: 468 anomaly(-ies) detected
2026-06-11 14:00:42,158 | INFO     | anomaly_detector:169 | ABSL Small Cap Fund - Regular - Growth: 470 anomaly(-ies) detected
2026-06-11 14:00:42,165 | INFO     | anomaly_detector:169 | ABSL Liquid Fund - Regular - Growth: 459 anomaly(-ies) detected
2026-06-11 14:00:42,175 | INFO     | anomaly_detector:169 | UTI Nifty 50 Index Fund - Regular - Grow: 485 anomaly(-ies) detected
2026-06-11 14:00:42,184 | INFO     | anomaly_detector:169 | UTI Mid Cap Fund - Regular - Growth: 477 anomaly(-ies) detected
2026-06-11 14:00:42,195 | INFO     | anomaly_detector:169 | UTI Flexi Cap Fund - Regular - Growth: 471 anomaly(-ies) detected
2026-06-11 14:00:42,204 | INFO     | anomaly_detector:169 | Nippon India Large Cap Fund - Regular - : 472 anomaly(-ies) detected
2026-06-11 14:00:42,217 | INFO     | anomaly_detector:169 | Nippon India Large Cap Fund - Direct - G: 485 anomaly(-ies) detected
2026-06-11 14:00:42,227 | INFO     | anomaly_detector:169 | Nippon India Small Cap Fund - Regular - : 480 anomaly(-ies) detected
2026-06-11 14:00:42,238 | INFO     | anomaly_detector:169 | Nippon India ETF Nifty 50 BeES: 482 anomaly(-ies) detected
2026-06-11 14:00:42,248 | INFO     | anomaly_detector:169 | Nippon India Gilt Securities Fund - Regu: 461 anomaly(-ies) detected
2026-06-11 14:00:42,259 | INFO     | anomaly_detector:169 | Axis Bluechip Fund - Regular - Growth: 477 anomaly(-ies) detected
2026-06-11 14:00:42,270 | INFO     | anomaly_detector:169 | Axis Bluechip Fund - Direct - Growth: 474 anomaly(-ies) detected
2026-06-11 14:00:42,280 | INFO     | anomaly_detector:169 | Axis Midcap Fund - Regular - Growth: 470 anomaly(-ies) detected
2026-06-11 14:00:42,293 | INFO     | anomaly_detector:169 | Axis Small Cap Fund - Regular - Growth: 489 anomaly(-ies) detected
2026-06-11 14:00:42,302 | INFO     | anomaly_detector:169 | SBI Magnum Gilt Fund - Regular Plan - Gr: 484 anomaly(-ies) detected
2026-06-11 14:00:42,311 | INFO     | anomaly_detector:169 | SBI Bluechip Fund - Regular Plan - Growt: 477 anomaly(-ies) detected
2026-06-11 14:00:42,351 | INFO     | anomaly_detector:169 | SBI Bluechip Fund - Direct Plan - Growth: 463 anomaly(-ies) detected
2026-06-11 14:00:42,361 | INFO     | anomaly_detector:169 | SBI Small Cap Fund - Regular Plan - Grow: 479 anomaly(-ies) detected
2026-06-11 14:00:42,371 | INFO     | anomaly_detector:169 | SBI Small Cap Fund - Direct Plan - Growt: 480 anomaly(-ies) detected
2026-06-11 14:00:42,381 | INFO     | anomaly_detector:169 | ICICI Pru Bluechip Fund - Regular - Grow: 470 anomaly(-ies) detected
2026-06-11 14:00:42,389 | INFO     | anomaly_detector:169 | ICICI Pru Bluechip Fund - Direct - Growt: 466 anomaly(-ies) detected
2026-06-11 14:00:42,399 | INFO     | anomaly_detector:169 | ICICI Pru Midcap Fund - Regular - Growth: 469 anomaly(-ies) detected
2026-06-11 14:00:42,407 | INFO     | anomaly_detector:169 | ICICI Pru Value Discovery Fund - Regular: 481 anomaly(-ies) detected
2026-06-11 14:00:42,419 | INFO     | anomaly_detector:169 | ICICI Pru Liquid Fund - Regular - Growth: 458 anomaly(-ies) detected
2026-06-11 14:00:42,432 | INFO     | anomaly_detector:169 | Kotak Bluechip Fund - Regular - Growth: 467 anomaly(-ies) detected
2026-06-11 14:00:42,443 | INFO     | anomaly_detector:169 | Kotak Emerging Equity Fund - Regular - G: 476 anomaly(-ies) detected
2026-06-11 14:00:42,453 | INFO     | anomaly_detector:169 | Kotak Flexicap Fund - Regular - Growth: 482 anomaly(-ies) detected
2026-06-11 14:00:42,461 | INFO     | anomaly_detector:169 | Kotak Liquid Fund - Regular - Growth: 458 anomaly(-ies) detected
2026-06-11 14:00:42,471 | INFO     | anomaly_detector:169 | HDFC Top 100 Fund - Direct Plan - Growth: 473 anomaly(-ies) detected
2026-06-11 14:00:42,481 | INFO     | anomaly_detector:169 | HDFC Mid-Cap Opportunities Fund - Direct: 487 anomaly(-ies) detected
2026-06-11 14:00:42,490 | INFO     | anomaly_detector:169 | Mirae Asset Large Cap Fund - Regular - G: 480 anomaly(-ies) detected
2026-06-11 14:00:42,502 | INFO     | anomaly_detector:169 | Mirae Asset Emerging Bluechip Fund - Reg: 486 anomaly(-ies) detected
2026-06-11 14:00:42,514 | INFO     | anomaly_detector:169 | Mirae Asset Tax Saver Fund - Regular - G: 485 anomaly(-ies) detected
2026-06-11 14:00:42,526 | INFO     | anomaly_detector:169 | DSP Top 100 Equity Fund - Regular - Grow: 473 anomaly(-ies) detected
2026-06-11 14:00:42,537 | INFO     | anomaly_detector:169 | DSP Midcap Fund - Regular - Growth: 467 anomaly(-ies) detected
2026-06-11 14:00:42,548 | INFO     | anomaly_detector:169 | DSP Small Cap Fund - Regular - Growth: 505 anomaly(-ies) detected
2026-06-11 14:00:44,993 | INFO     | anomaly_detector:312 | Anomaly report saved to /home/saikat/bluestock_mf_capstone/reports/anomaly_report.csv
2026-06-11 14:01:07,513 | INFO     | pipeline:184 | Starting pipeline: Bluestock Mutual Fund Analytics
2026-06-11 14:01:07,513 | INFO     | pipeline:185 | Steps: 8 (Data Ingestion, Live NAV Fetch, Data Cleaning, Database Load, Performance Analytics, EDA Charts (15), Performance Charts, Advanced Analytics)
2026-06-11 14:01:07,523 | INFO     | pipeline:91 | ──────────────────────────────────────────────────
2026-06-11 14:01:07,523 | INFO     | pipeline:92 | Running: Data Ingestion
2026-06-11 14:01:07,524 | INFO     | pipeline:93 | ──────────────────────────────────────────────────
2026-06-11 14:01:08,091 | INFO     | pipeline:104 | OK (Data Ingestion): 0.6s
2026-06-11 14:01:08,091 | INFO     | pipeline:91 | ──────────────────────────────────────────────────
2026-06-11 14:01:08,091 | INFO     | pipeline:92 | Running: Live NAV Fetch
2026-06-11 14:01:08,091 | INFO     | pipeline:93 | ──────────────────────────────────────────────────
2026-06-11 14:01:08,471 | INFO     | live_nav:88 | Fetching live NAV for 6 schemes...
2026-06-11 14:01:08,471 | INFO     | live_nav:90 | [1/6] HDFC_Top100 (code: 125497)...
2026-06-11 14:01:08,791 | INFO     | live_nav:68 | Saved HDFC_Top100 (code 125497): 3098 rows
2026-06-11 14:01:09,291 | INFO     | live_nav:90 | [2/6] SBI_Bluechip (code: 119551)...
2026-06-11 14:01:09,585 | INFO     | live_nav:68 | Saved SBI_Bluechip (code 119551): 3243 rows
2026-06-11 14:01:10,086 | INFO     | live_nav:90 | [3/6] ICICI_Bluechip (code: 120503)...
2026-06-11 14:01:10,653 | INFO     | live_nav:68 | Saved ICICI_Bluechip (code 120503): 3314 rows
2026-06-11 14:01:11,153 | INFO     | live_nav:90 | [4/6] Nippon_LargeCap (code: 118632)...
2026-06-11 14:01:28,551 | INFO     | live_nav:68 | Saved Nippon_LargeCap (code 118632): 3305 rows
2026-06-11 14:01:29,051 | INFO     | live_nav:90 | [5/6] Axis_Bluechip (code: 119092)...
2026-06-11 14:01:29,358 | INFO     | live_nav:68 | Saved Axis_Bluechip (code 119092): 3572 rows
2026-06-11 14:01:29,858 | INFO     | live_nav:90 | [6/6] Kotak_Bluechip (code: 120841)...
2026-06-11 14:01:30,166 | INFO     | live_nav:68 | Saved Kotak_Bluechip (code 120841): 3308 rows
2026-06-11 14:01:30,705 | INFO     | live_nav:105 | Combined: 19840 rows saved to /home/saikat/bluestock_mf_capstone/data/raw/live_nav_combined.csv
2026-06-11 14:01:30,860 | INFO     | pipeline:104 | OK (Live NAV Fetch): 22.8s
2026-06-11 14:01:30,860 | INFO     | pipeline:91 | ──────────────────────────────────────────────────
2026-06-11 14:01:30,860 | INFO     | pipeline:92 | Running: Data Cleaning
2026-06-11 14:01:30,860 | INFO     | pipeline:93 | ──────────────────────────────────────────────────
2026-06-11 14:01:31,576 | INFO     | pipeline:104 | OK (Data Cleaning): 0.7s
2026-06-11 14:01:31,576 | INFO     | pipeline:91 | ──────────────────────────────────────────────────
2026-06-11 14:01:31,576 | INFO     | pipeline:92 | Running: Database Load
2026-06-11 14:01:31,576 | INFO     | pipeline:93 | ──────────────────────────────────────────────────
2026-06-11 14:01:32,946 | INFO     | pipeline:104 | OK (Database Load): 1.4s
2026-06-11 14:01:32,946 | INFO     | pipeline:91 | ──────────────────────────────────────────────────
2026-06-11 14:01:32,946 | INFO     | pipeline:92 | Running: Performance Analytics
2026-06-11 14:01:32,946 | INFO     | pipeline:93 | ──────────────────────────────────────────────────
2026-06-11 14:01:34,062 | INFO     | pipeline:104 | OK (Performance Analytics): 1.1s
2026-06-11 14:01:34,063 | INFO     | pipeline:91 | ──────────────────────────────────────────────────
2026-06-11 14:01:34,063 | INFO     | pipeline:92 | Running: EDA Charts (15)
2026-06-11 14:01:34,063 | INFO     | pipeline:93 | ──────────────────────────────────────────────────
2026-06-11 14:01:45,107 | INFO     | pipeline:104 | OK (EDA Charts (15)): 11.0s
2026-06-11 14:01:45,108 | INFO     | pipeline:91 | ──────────────────────────────────────────────────
2026-06-11 14:01:45,108 | INFO     | pipeline:92 | Running: Performance Charts
2026-06-11 14:01:45,108 | INFO     | pipeline:93 | ──────────────────────────────────────────────────
2026-06-11 14:01:48,583 | INFO     | pipeline:104 | OK (Performance Charts): 3.5s
2026-06-11 14:01:48,584 | INFO     | pipeline:91 | ──────────────────────────────────────────────────
2026-06-11 14:01:48,584 | INFO     | pipeline:92 | Running: Advanced Analytics
2026-06-11 14:01:48,584 | INFO     | pipeline:93 | ──────────────────────────────────────────────────
2026-06-11 14:01:51,806 | INFO     | pipeline:104 | OK (Advanced Analytics): 3.2s
2026-06-11 14:01:51,807 | INFO     | pipeline:212 | ══════════════════════════════════════════════════
2026-06-11 14:01:51,807 | INFO     | pipeline:213 | Pipeline complete: 8 passed, 0 failed out of 8 steps
2026-06-11 14:01:51,807 | INFO     | pipeline:215 | ══════════════════════════════════════════════════
2026-06-11 14:02:33,886 | INFO     | pipeline:185 | Starting pipeline: Bluestock Mutual Fund Analytics
2026-06-11 14:02:33,887 | INFO     | pipeline:186 | Steps: 11 (Data Ingestion, Live NAV Fetch, Data Cleaning, Database Load, Performance Analytics, EDA Charts (15), Performance Charts, Advanced Analytics, Data Quality Report, Portfolio Optimizer, Anomaly Detector)
2026-06-11 14:02:33,897 | INFO     | pipeline:91 | ──────────────────────────────────────────────────
2026-06-11 14:02:33,897 | INFO     | pipeline:92 | Running: Data Ingestion
2026-06-11 14:02:33,897 | INFO     | pipeline:93 | ──────────────────────────────────────────────────
2026-06-11 14:02:34,413 | INFO     | pipeline:104 | OK (Data Ingestion): 0.5s
2026-06-11 14:02:34,413 | INFO     | pipeline:91 | ──────────────────────────────────────────────────
2026-06-11 14:02:34,413 | INFO     | pipeline:92 | Running: Live NAV Fetch
2026-06-11 14:02:34,413 | INFO     | pipeline:93 | ──────────────────────────────────────────────────
2026-06-11 14:02:34,826 | INFO     | live_nav:88 | Fetching live NAV for 6 schemes...
2026-06-11 14:02:34,826 | INFO     | live_nav:90 | [1/6] HDFC_Top100 (code: 125497)...
2026-06-11 14:02:37,052 | INFO     | live_nav:68 | Saved HDFC_Top100 (code 125497): 3098 rows
2026-06-11 14:02:37,552 | INFO     | live_nav:90 | [2/6] SBI_Bluechip (code: 119551)...
2026-06-11 14:02:37,932 | INFO     | live_nav:68 | Saved SBI_Bluechip (code 119551): 3243 rows
2026-06-11 14:02:38,433 | INFO     | live_nav:90 | [3/6] ICICI_Bluechip (code: 120503)...
2026-06-11 14:02:38,728 | INFO     | live_nav:68 | Saved ICICI_Bluechip (code 120503): 3314 rows
2026-06-11 14:02:39,228 | INFO     | live_nav:90 | [4/6] Nippon_LargeCap (code: 118632)...
