amfi_code,scheme_name,total_anomalies,zscore_anomalies,return_spikes,zero_negative_nav,flat_nav,missing_days,date_range
149324,DSP Small Cap Fund - Regular - Growth,505,47,0,0,458,0,2022-01-08 to 2026-05-24
119095,Axis Small Cap Fund - Regular - Growth,489,31,0,0,458,0,2022-01-08 to 2026-05-24
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,487,29,0,0,458,0,2022-01-08 to 2026-05-24
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,486,28,0,0,458,0,2022-01-08 to 2026-05-24
102885,UTI Nifty 50 Index Fund - Regular - Growth,485,27,0,0,458,0,2022-01-08 to 2026-05-24
148569,Mirae Asset Tax Saver Fund - Regular - Growth,485,27,0,0,458,0,2022-01-08 to 2026-05-24
118633,Nippon India Large Cap Fund - Direct - Growth,485,27,0,0,458,0,2022-01-08 to 2026-05-24
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,484,26,0,0,458,0,2022-01-08 to 2026-05-24
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,484,26,0,0,458,0,2022-01-08 to 2026-05-24
118635,Nippon India ETF Nifty 50 BeES,482,24,0,0,458,0,2022-01-08 to 2026-05-24
120843,Kotak Flexicap Fund - Regular - Growth,482,24,0,0,458,0,2022-01-08 to 2026-05-24
120506,ICICI Pru Value Discovery Fund - Regular - Growth,481,23,0,0,458,0,2022-01-08 to 2026-05-24
119599,SBI Small Cap Fund - Direct Plan - Growth,480,20,2,0,458,0,2022-01-08 to 2026-05-24
148567,Mirae Asset Large Cap Fund - Regular - Growth,480,22,0,0,458,0,2022-01-08 to 2026-05-24
118634,Nippon India Small Cap Fund - Regular - Growth,480,18,3,0,459,0,2022-01-08 to 2026-05-24
119598,SBI Small Cap Fund - Regular Plan - Growth,479,19,2,0,458,0,2022-01-08 to 2026-05-24
119551,SBI Bluechip Fund - Regular Plan - Growth,477,19,0,0,458,0,2022-01-08 to 2026-05-24
102886,UTI Mid Cap Fund - Regular - Growth,477,19,0,0,458,0,2022-01-08 to 2026-05-24
119092,Axis Bluechip Fund - Regular - Growth,477,19,0,0,458,0,2022-01-08 to 2026-05-24
120842,Kotak Emerging Equity Fund - Regular - Growth,476,18,0,0,458,0,2022-01-08 to 2026-05-24
119093,Axis Bluechip Fund - Direct - Growth,474,15,0,0,459,0,2022-01-08 to 2026-05-24
149322,DSP Top 100 Equity Fund - Regular - Growth,473,15,0,0,458,0,2022-01-08 to 2026-05-24
125497,HDFC Top 100 Fund - Direct Plan - Growth,473,15,0,0,458,0,2022-01-08 to 2026-05-24
118632,Nippon India Large Cap Fund - Regular - Growth,472,14,0,0,458,0,2022-01-08 to 2026-05-24
102887,UTI Flexi Cap Fund - Regular - Growth,471,13,0,0,458,0,2022-01-08 to 2026-05-24
100016,HDFC Top 100 Fund - Regular Plan - Growth,470,12,0,0,458,0,2022-01-08 to 2026-05-24
119094,Axis Midcap Fund - Regular - Growth,470,12,0,0,458,0,2022-01-08 to 2026-05-24
101207,ABSL Small Cap Fund - Regular - Growth,470,9,2,0,459,0,2022-01-08 to 2026-05-24
120503,ICICI Pru Bluechip Fund - Regular - Growth,470,12,0,0,458,0,2022-01-08 to 2026-05-24
120505,ICICI Pru Midcap Fund - Regular - Growth,469,11,0,0,458,0,2022-01-08 to 2026-05-24
101206,ABSL Frontline Equity Fund - Regular - Growth,468,10,0,0,458,0,2022-01-08 to 2026-05-24
120841,Kotak Bluechip Fund - Regular - Growth,467,9,0,0,458,0,2022-01-08 to 2026-05-24
149323,DSP Midcap Fund - Regular - Growth,467,9,0,0,458,0,2022-01-08 to 2026-05-24
120504,ICICI Pru Bluechip Fund - Direct - Growth,466,8,0,0,458,0,2022-01-08 to 2026-05-24
119552,SBI Bluechip Fund - Direct Plan - Growth,463,5,0,0,458,0,2022-01-08 to 2026-05-24
100025,HDFC Short Term Debt Fund - Regular - Growth,463,3,0,0,460,0,2022-01-08 to 2026-05-24
118636,Nippon India Gilt Securities Fund - Regular - Growth,461,3,0,0,458,0,2022-01-08 to 2026-05-24
101208,ABSL Liquid Fund - Regular - Growth,459,0,0,0,459,0,2022-01-08 to 2026-05-24
120844,Kotak Liquid Fund - Regular - Growth,458,0,0,0,458,0,2022-01-08 to 2026-05-24
120507,ICICI Pru Liquid Fund - Regular - Growth,458,0,0,0,458,0,2022-01-08 to 2026-05-24
